phrase,label,category,non_comp_score,is_non_comp,n_tokens,ntp_avg_prob,ntp_avg_surprisal,ntp_entry_prob,ll_L0_avg,ll_L6_avg,ll_L12_avg,ll_L18_avg,ll_L24_avg,ll_L30_avg,ll_L36_avg,ll_L42_avg,ll_L47_avg,fl_L0_k1_prob,fl_L0_k1_top1,fl_L0_k1_top5,fl_L6_k1_prob,fl_L6_k1_top1,fl_L6_k1_top5,fl_L12_k1_prob,fl_L12_k1_top1,fl_L12_k1_top5,fl_L18_k1_prob,fl_L18_k1_top1,fl_L18_k1_top5,fl_L24_k1_prob,fl_L24_k1_top1,fl_L24_k1_top5,fl_L30_k1_prob,fl_L30_k1_top1,fl_L30_k1_top5,fl_L36_k1_prob,fl_L36_k1_top1,fl_L36_k1_top5,fl_L42_k1_prob,fl_L42_k1_top1,fl_L42_k1_top5,fl_L47_k1_prob,fl_L47_k1_top1,fl_L47_k1_top5,fl_mid_avg_prob,fl_mid_avg_surprisal,fl_L0_k2_prob,fl_L0_k2_top1,fl_L0_k2_top5,fl_L0_k3_prob,fl_L0_k3_top1,fl_L0_k3_top5,fl_L6_k2_prob,fl_L6_k2_top1,fl_L6_k2_top5,fl_L6_k3_prob,fl_L6_k3_top1,fl_L6_k3_top5,fl_L12_k2_prob,fl_L12_k2_top1,fl_L12_k2_top5,fl_L12_k3_prob,fl_L12_k3_top1,fl_L12_k3_top5,fl_L18_k2_prob,fl_L18_k2_top1,fl_L18_k2_top5,fl_L18_k3_prob,fl_L18_k3_top1,fl_L18_k3_top5,fl_L24_k2_prob,fl_L24_k2_top1,fl_L24_k2_top5,fl_L24_k3_prob,fl_L24_k3_top1,fl_L24_k3_top5,fl_L30_k2_prob,fl_L30_k2_top1,fl_L30_k2_top5,fl_L30_k3_prob,fl_L30_k3_top1,fl_L30_k3_top5,fl_L36_k2_prob,fl_L36_k2_top1,fl_L36_k2_top5,fl_L36_k3_prob,fl_L36_k3_top1,fl_L36_k3_top5,fl_L42_k2_prob,fl_L42_k2_top1,fl_L42_k2_top5,fl_L42_k3_prob,fl_L42_k3_top1,fl_L42_k3_top5,fl_L47_k2_prob,fl_L47_k2_top1,fl_L47_k2_top5,fl_L47_k3_prob,fl_L47_k3_top1,fl_L47_k3_top5,lookahead_avg,fl_L0_k4_prob,fl_L0_k4_top1,fl_L0_k4_top5,fl_L6_k4_prob,fl_L6_k4_top1,fl_L6_k4_top5,fl_L12_k4_prob,fl_L12_k4_top1,fl_L12_k4_top5,fl_L18_k4_prob,fl_L18_k4_top1,fl_L18_k4_top5,fl_L24_k4_prob,fl_L24_k4_top1,fl_L24_k4_top5,fl_L30_k4_prob,fl_L30_k4_top1,fl_L30_k4_top5,fl_L36_k4_prob,fl_L36_k4_top1,fl_L36_k4_top5,fl_L42_k4_prob,fl_L42_k4_top1,fl_L42_k4_top5,fl_L47_k4_prob,fl_L47_k4_top1,fl_L47_k4_top5
advertising purpose,compositional,farahmand,0.0,False,2,1.4837084563623648e-05,16.040432839271617,2.5074950826819986e-05,2.904124929839825e-28,1.5232963960443158e-05,2.613863216538448e-05,5.342947042663582e-05,3.8468911952804774e-05,1.5266710761352442e-05,5.920592229813337e-06,4.617038030119147e-06,1.6454165233881213e-05,2.904124929839825e-28,0,0,1.5232963960443158e-05,0,0,2.613863216538448e-05,0,0,5.342947042663582e-05,0,0,3.8468911952804774e-05,0,0,1.5266710761352442e-05,0,0,5.920592229813337e-06,0,0,4.617038030119147e-06,0,0,1.6454165233881213e-05,0,0,3.8468911952804774e-05,14.665947449130108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age limit,compositional,farahmand,0.0,False,2,0.009553545154631138,6.7097480930924664,0.0002953549847006798,3.0979326564427222e-27,0.0001628141908440739,0.0006932483520358801,0.0034002887550741434,0.009433724917471409,0.023262612521648407,0.022936563938856125,0.08180920779705048,0.010315080173313618,3.0979326564427222e-27,0,0,0.0001628141908440739,0,0,0.0006932483520358801,0,0,0.0034002887550741434,0,0,0.009433724917471409,0,0,0.023262612521648407,0,0,0.022936563938856125,0,0,0.08180920779705048,0,1,0.010315080173313618,0,0,0.009433724917471409,6.727956751420812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air bag,compositional,farahmand,0.0,False,2,0.001025105477310717,9.930011922478634,0.000513326667714864,1.2040863475907258e-25,0.0005385989788919687,7.85591037129052e-05,8.589860226493329e-05,4.9559334001969546e-05,6.44555184408091e-05,8.560738933738321e-05,0.0006603715009987354,0.0007781576132401824,1.2040863475907258e-25,0,0,0.0005385989788919687,0,0,7.85591037129052e-05,0,0,8.589860226493329e-05,0,0,4.9559334001969546e-05,0,0,6.44555184408091e-05,0,0,8.560738933738321e-05,0,0,0.0006603715009987354,0,0,0.0007781576132401824,0,0,4.9559334001969546e-05,14.30048367433747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air force,compositional,farahmand,0.5,False,2,0.02960895374417305,5.077822677130286,0.000513326667714864,1.4187604215832006e-25,0.0010180965764448047,0.00053059944184497,0.0006447047926485538,0.0005671764956787229,0.0020130001939833164,0.01899850182235241,0.052255284041166306,0.04022490605711937,1.4187604215832006e-25,0,0,0.0010180965764448047,0,0,0.00053059944184497,0,0,0.0006447047926485538,0,0,0.0005671764956787229,0,0,0.0020130001939833164,0,0,0.01899850182235241,0,1,0.052255284041166306,0,1,0.04022490605711937,0,1,0.0005671764956787229,10.783914632356996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air mail,compositional,farahmand,0.0,False,2,0.0001989199226954952,12.295524603957947,0.000513326667714864,1.066761441209852e-25,3.471847958280705e-05,9.02310694073094e-06,6.635928912146483e-06,3.5988416584586957e-06,6.887079962325515e-06,2.520684211049229e-05,0.00014170394570101053,0.00017516322259325534,1.066761441209852e-25,0,0,3.471847958280705e-05,0,0,9.02310694073094e-06,0,0,6.635928912146483e-06,0,0,3.5988416584586957e-06,0,0,6.887079962325515e-06,0,0,2.520684211049229e-05,0,0,0.00014170394570101053,0,0,0.00017516322259325534,0,0,3.5988416584586957e-06,18.084035941243734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohol bottle,compositional,farahmand,0.0,False,2,0.0008269326644949615,10.239942521197923,2.8608539651031606e-05,1.4311601077405455e-19,0.02650228515267372,0.11818994581699371,0.05789230018854141,0.04452279582619667,0.029961664229631424,0.015990976244211197,0.017291652038693428,0.0009068049257621169,1.4311601077405455e-19,0,0,0.02650228515267372,0,1,0.11818994581699371,1,1,0.05789230018854141,0,1,0.04452279582619667,0,1,0.029961664229631424,0,1,0.015990976244211197,0,0,0.017291652038693428,0,0,0.0009068049257621169,0,0,0.04452279582619667,4.489311999656777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal anatomy,compositional,farahmand,0.0,False,2,5.8654884924180806e-05,14.05738920996107,0.0001215690717799589,9.753886439823305e-24,7.837543307687156e-06,4.5570773181680124e-06,7.5294719863450155e-06,1.3859804312232882e-05,1.8572183762444183e-05,3.5335240681888536e-05,7.434572762576863e-05,7.065843237796798e-05,9.753886439823305e-24,0,0,7.837543307687156e-06,0,0,4.5570773181680124e-06,0,0,7.5294719863450155e-06,0,0,1.3859804312232882e-05,0,0,1.8572183762444183e-05,0,0,3.5335240681888536e-05,0,0,7.434572762576863e-05,0,0,7.065843237796798e-05,0,0,1.3859804312232882e-05,16.13873358635304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal bones,compositional,farahmand,0.0,False,2,0.0003787609457504004,11.366424798154242,0.0001215690717799589,1.772584012578422e-25,0.0015304841799661517,0.0013100417563691735,0.0006774505600333214,0.0008532990468665957,0.0007568647270090878,0.0003355789522174746,0.0006850071367807686,0.0005339586641639471,1.772584012578422e-25,0,0,0.0015304841799661517,0,0,0.0013100417563691735,0,0,0.0006774505600333214,0,0,0.0008532990468665957,0,0,0.0007568647270090878,0,0,0.0003355789522174746,0,0,0.0006850071367807686,0,0,0.0005339586641639471,0,0,0.0008532990468665957,10.194660943020423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal brain,compositional,farahmand,0.0,False,2,0.0003355636144988239,11.541126088169653,0.0001215690717799589,1.1832807082092972e-24,1.2372401215543505e-05,9.264169420930557e-06,2.3485850761062466e-05,2.29852412303444e-05,4.492371226660907e-05,6.50549482088536e-05,0.00018009630730375648,0.0002830299490597099,1.1832807082092972e-24,0,0,1.2372401215543505e-05,0,0,9.264169420930557e-06,0,0,2.3485850761062466e-05,0,0,2.29852412303444e-05,0,0,4.492371226660907e-05,0,0,6.50549482088536e-05,0,0,0.00018009630730375648,0,0,0.0002830299490597099,0,0,2.29852412303444e-05,15.408932667103269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal life,compositional,farahmand,0.0,False,2,0.000970985449384898,10.008262703119746,0.0001215690717799589,9.268169619558206e-26,0.0003592866996768862,0.000510022509843111,0.0004747877537738532,0.00021198848844505847,0.0002500754490029067,0.0001246640895260498,0.00070399628020823,0.0009917381685227156,9.268169619558206e-26,0,0,0.0003592866996768862,0,0,0.000510022509843111,0,0,0.0004747877537738532,0,0,0.00021198848844505847,0,0,0.0002500754490029067,0,0,0.0001246640895260498,0,0,0.00070399628020823,0,0,0.0009917381685227156,0,0,0.00021198848844505847,12.20372645492201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal matter,compositional,farahmand,0.0,False,2,0.00013584500993601978,12.845750808268408,0.0001215690717799589,4.9030977799647386e-26,0.0002039172686636448,0.00012031568621750921,8.130597416311502e-05,5.3181967814452946e-05,5.779595812782645e-05,3.0135417546262033e-05,4.688925764639862e-05,0.00012208681437186897,4.9030977799647386e-26,0,0,0.0002039172686636448,0,0,0.00012031568621750921,0,0,8.130597416311502e-05,0,0,5.3181967814452946e-05,0,0,5.779595812782645e-05,0,0,3.0135417546262033e-05,0,0,4.688925764639862e-05,0,0,0.00012208681437186897,0,0,5.3181967814452946e-05,14.198703314322293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ankle injury,compositional,farahmand,0.0,False,2,0.050280168652534485,4.313866700840348,1.2001755749224685e-05,7.065701896395899e-25,0.015629597008228302,0.014482945203781128,0.029514487832784653,0.018037350848317146,0.10084542632102966,0.25302234292030334,0.2744850814342499,0.08214914053678513,7.065701896395899e-25,0,0,0.015629597008228302,0,1,0.014482945203781128,0,0,0.029514487832784653,0,1,0.018037350848317146,0,0,0.10084542632102966,1,1,0.25302234292030334,1,1,0.2744850814342499,1,1,0.08214914053678513,0,1,0.018037350848317146,5.792868724720503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
approval rating,compositional,farahmand,0.0,False,2,0.06046369671821594,4.047787002506115,6.105419743107632e-05,1.620758905987261e-23,0.03831089660525322,0.1263006031513214,0.16409489512443542,0.09676438570022583,0.2498607486486435,0.16657505929470062,0.15630733966827393,0.05161300301551819,1.620758905987261e-23,0,0,0.03831089660525322,1,1,0.1263006031513214,1,1,0.16409489512443542,1,1,0.09676438570022583,0,1,0.2498607486486435,1,1,0.16657505929470062,0,1,0.15630733966827393,0,1,0.05161300301551819,0,1,0.09676438570022583,3.369380030992455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
approval requirements,compositional,farahmand,0.0,False,2,0.0003525763167999685,11.46977681011757,6.105419743107632e-05,1.7252886557275628e-23,0.0008614076650701463,0.0016339633148163557,0.0028344590682536364,0.003324054880067706,0.0014121629064902663,0.0002804744290187955,0.0001837333693401888,0.00037237012293189764,1.7252886557275628e-23,0,0,0.0008614076650701463,0,0,0.0016339633148163557,0,0,0.0028344590682536364,0,0,0.003324054880067706,0,0,0.0014121629064902663,0,0,0.0002804744290187955,0,0,0.0001837333693401888,0,0,0.00037237012293189764,0,0,0.003324054880067706,8.23284008349609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcade game,compositional,farahmand,0.5,False,2,0.09340230375528336,3.420398055521435,1.1530709343787748e-05,3.272069079038394e-27,0.005817425902932882,0.007808744441717863,0.008474314585328102,0.007257423829287291,0.023835252970457077,0.20690542459487915,0.30857375264167786,0.08959163725376129,3.272069079038394e-27,0,0,0.005817425902932882,0,0,0.007808744441717863,0,1,0.008474314585328102,0,1,0.007257423829287291,0,0,0.023835252970457077,0,1,0.20690542459487915,1,1,0.30857375264167786,1,1,0.08959163725376129,1,1,0.007257423829287291,7.106326759620163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
area director,compositional,farahmand,0.0,False,2,4.677924152929336e-05,14.383772004170114,0.000535864382982254,2.2871860842238365e-25,0.000301456602755934,0.0005934355431236327,0.0002651668037287891,0.00013410199608188123,3.119249231531285e-05,1.978360342036467e-05,1.49710531331948e-05,4.919345519738272e-05,2.2871860842238365e-25,0,0,0.000301456602755934,0,0,0.0005934355431236327,0,0,0.0002651668037287891,0,0,0.00013410199608188123,0,0,3.119249231531285e-05,0,0,1.978360342036467e-05,0,0,1.49710531331948e-05,0,0,4.919345519738272e-05,0,0,0.00013410199608188123,12.864381667914826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm wrestling,compositional,farahmand,0.0,False,2,0.001359625835902989,9.52257460300748,7.364541670540348e-05,1.6739767797969596e-29,1.9073242583544925e-05,3.680503505165689e-05,4.80771268485114e-05,2.045915971393697e-05,8.063329005381092e-06,6.416376709239557e-05,0.001281601027585566,0.0017753945430740714,1.6739767797969596e-29,0,0,1.9073242583544925e-05,0,0,3.680503505165689e-05,0,0,4.80771268485114e-05,0,0,2.045915971393697e-05,0,0,8.063329005381092e-06,0,0,6.416376709239557e-05,0,0,0.001281601027585566,0,0,0.0017753945430740714,0,0,2.045915971393697e-05,15.576893581622908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
army camp,compositional,farahmand,0.0,False,2,0.0005968665354885161,10.71030401106609,0.00021524388284888119,3.2622331226407833e-21,0.007016587071120739,0.003309645690023899,0.0017922766273841262,0.0011341988574713469,0.001047226251102984,0.0013206815347075462,0.0019562297966331244,0.0007741415174677968,3.2622331226407833e-21,0,0,0.007016587071120739,0,0,0.003309645690023899,0,0,0.0017922766273841262,0,0,0.0011341988574713469,0,0,0.001047226251102984,0,0,0.0013206815347075462,0,0,0.0019562297966331244,0,0,0.0007741415174677968,0,0,0.0011341988574713469,9.784110676536956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
army officer,compositional,farahmand,0.0,False,2,0.004621934145689011,7.7572875805390895,0.00021524388284888119,7.994446165351424e-22,0.0153256356716156,0.023610342293977737,0.04159658029675484,0.03250504285097122,0.04909715801477432,0.04029053822159767,0.024301795288920403,0.0045516230165958405,7.994446165351424e-22,0,0,0.0153256356716156,0,1,0.023610342293977737,0,1,0.04159658029675484,0,1,0.03250504285097122,0,1,0.04909715801477432,0,1,0.04029053822159767,0,1,0.024301795288920403,0,0,0.0045516230165958405,0,0,0.03250504285097122,4.943192633734798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
