phrase,label,category,non_comp_score,phrase_len_tokens,avg_next_token_prob,min_next_token_prob,max_next_token_prob,avg_surprisal,logit_lens_L0_avg_prob,logit_lens_L0_avg_surprisal,logit_lens_L6_avg_prob,logit_lens_L6_avg_surprisal,logit_lens_L12_avg_prob,logit_lens_L12_avg_surprisal,logit_lens_L18_avg_prob,logit_lens_L18_avg_surprisal,logit_lens_L24_avg_prob,logit_lens_L24_avg_surprisal,logit_lens_L30_avg_prob,logit_lens_L30_avg_surprisal,logit_lens_L36_avg_prob,logit_lens_L36_avg_surprisal,logit_lens_L42_avg_prob,logit_lens_L42_avg_surprisal,logit_lens_L47_avg_prob,logit_lens_L47_avg_surprisal,future_L0_k1_prob,future_L0_k1_top1,future_L0_k1_top10,future_L0_k2_prob,future_L0_k2_top1,future_L0_k2_top10,future_L6_k1_prob,future_L6_k1_top1,future_L6_k1_top10,future_L6_k2_prob,future_L6_k2_top1,future_L6_k2_top10,future_L12_k1_prob,future_L12_k1_top1,future_L12_k1_top10,future_L12_k2_prob,future_L12_k2_top1,future_L12_k2_top10,future_L18_k1_prob,future_L18_k1_top1,future_L18_k1_top10,future_L18_k2_prob,future_L18_k2_top1,future_L18_k2_top10,future_L24_k1_prob,future_L24_k1_top1,future_L24_k1_top10,future_L24_k2_prob,future_L24_k2_top1,future_L24_k2_top10,future_L30_k1_prob,future_L30_k1_top1,future_L30_k1_top10,future_L30_k2_prob,future_L30_k2_top1,future_L30_k2_top10,future_L36_k1_prob,future_L36_k1_top1,future_L36_k1_top10,future_L36_k2_prob,future_L36_k2_top1,future_L36_k2_top10,future_L42_k1_prob,future_L42_k1_top1,future_L42_k1_top10,future_L42_k2_prob,future_L42_k2_top1,future_L42_k2_top10,future_L47_k1_prob,future_L47_k1_top1,future_L47_k1_top10,future_L47_k2_prob,future_L47_k2_top1,future_L47_k2_top10,avg_lookahead_prob,future_L0_k3_prob,future_L0_k3_top1,future_L0_k3_top10,future_L6_k3_prob,future_L6_k3_top1,future_L6_k3_top10,future_L12_k3_prob,future_L12_k3_top1,future_L12_k3_top10,future_L18_k3_prob,future_L18_k3_top1,future_L18_k3_top10,future_L24_k3_prob,future_L24_k3_top1,future_L24_k3_top10,future_L30_k3_prob,future_L30_k3_top1,future_L30_k3_top10,future_L36_k3_prob,future_L36_k3_top1,future_L36_k3_top10,future_L42_k3_prob,future_L42_k3_top1,future_L42_k3_top10,future_L47_k3_prob,future_L47_k3_top1,future_L47_k3_top10
emitting diode,compositional,farahmand,0.25,2,0.2526277658471372,0.0006877297419123352,0.5045678019523621,5.746375294796243,2.9035997116484916e-33,33.219280948873624,0.019143494603667932,9.901214001364913,0.006441165951400762,10.047292121330756,0.004569099077343708,10.410833842500864,0.01985343392152572,9.222606319836515,0.035799025783489924,8.636569791279362,0.08026987332414137,8.294174378414953,0.17492985517674242,7.399831407285981,0.19860405358485878,5.97255064932895,2.0488570939329213e-36,0,0,,,,0.03825840353965759,0,1,,,,0.01281262282282114,0,1,,,,0.009078765287995338,0,1,,,,0.03963617980480194,0,1,,,,0.07150976359844208,0,1,,,,0.16047650575637817,1,1,,,,0.34975945949554443,1,1,,,,0.3965685963630676,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavations parts,compositional,farahmand,0.0,2,0.3423352236653727,1.1911204182979418e-06,0.6846692562103271,10.11288507980816,4.70893828709003e-33,33.219280948873624,0.027339217205735622,9.075780974556526,0.08673276368790539,8.448592044644098,0.11601952421642636,8.757182413657787,0.1727948034495057,8.74980396011382,0.31914542795675516,7.897139106948122,0.40104151810578514,9.697314234760526,0.3892240532058864,11.381943174749418,0.37022237155605353,9.828947833262122,6.851466398982371e-35,0,0,,,,6.28809430054389e-05,0,0,,,,4.724391328636557e-05,0,0,,,,2.30214591283584e-05,0,0,,,,1.5615361917298287e-05,0,0,,,,2.7570753445615992e-05,0,0,,,,1.8089090190187562e-06,0,0,,,,1.803673086442359e-07,0,0,,,,1.6326461036442197e-06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flea market,non-compositional,farahmand,1.0,2,0.29269931465387344,0.1617041677236557,0.4236944615840912,1.9337375282486786,9.055407670444415e-26,33.219280948873624,0.0007871042180340737,10.527786776054889,0.001724336005281657,9.316103600569903,0.005178884603083134,7.593348022088622,0.010577939916402102,6.59809847869105,0.026604977436363697,5.253427178967847,0.02696292009204626,5.7761700527167035,0.09070300869643688,4.363382046864643,0.3225020803511143,2.3744347214695862,1.8110815340888554e-25,0,0,,,,0.0003862118464894593,0,0,,,,0.0010086995316669345,0,0,,,,0.005091553553938866,0,0,,,,0.012889634817838669,0,1,,,,0.02207023836672306,0,1,,,,0.007112639024853706,0,1,,,,0.014108922332525253,0,1,,,,0.06401468068361282,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glee club,non-compositional,farahmand,0.75,2,0.019843175541609526,0.0097420709207654,0.02994428016245365,5.8715657685870255,9.866550660675476e-27,33.219280948873624,6.332428529276513e-05,14.127627118555955,0.00488948725615046,10.202176834868613,0.038443697936600074,8.557083120847198,0.010046811217762297,9.702664397231024,0.010346205039240886,8.925943636869784,0.005010467226384208,8.601970449221351,0.007268228102475405,7.4341319247859285,0.014513843227177858,6.232099960604861,1.401298464324817e-45,0,0,,,,3.3512042136862874e-05,0,0,,,,0.00970472488552332,0,1,,,,0.07679560780525208,0,1,,,,0.020021691918373108,0,1,,,,0.020486067980527878,0,1,,,,0.0093094352632761,0,0,,,,0.011671832762658596,0,0,,,,0.020317351445555687,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guinea pig,non-compositional,farahmand,1.0,2,0.445747971534729,0.17690622806549072,0.7145897150039673,1.4918781002773485,1.1869247403402904e-31,33.219280948873624,0.03784478781744838,5.70237299870797,0.11300925491377711,4.800998447785833,0.2078015673905611,4.5927581123432395,0.17165836971253157,3.4929211926887387,0.2541765347123146,2.177291865140516,0.5799365043640137,0.8081424300963163,0.6723745465278625,0.605709681129447,0.4871922507882118,1.3253643765690026,8.407790785948902e-45,0,0,,,,0.07045453041791916,0,1,,,,0.22017404437065125,1,1,,,,0.4114287793636322,1,1,,,,0.31854966282844543,1,1,,,,0.3795749247074127,0,1,,,,0.4791792631149292,1,1,,,,0.5300931930541992,1,1,,,,0.7666858434677124,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnifying glass,compositional,farahmand,0.0,2,0.44867683202028275,0.09879733622074127,0.7985563278198242,1.831958982825732,5.099426307847909e-36,33.219280948873624,0.0022841498721390963,8.94478137487895,0.01720133633352816,6.495513857410446,0.12302443711087108,4.437745338664367,0.21137799136340618,3.2311760075769307,0.4676157459616661,1.6164133940496364,0.5179455652832985,1.4847275332000534,0.5967262089252472,0.9991305573651268,0.49141089618206024,1.4447954103032536,5.476038980439379e-38,0,0,,,,0.0033325599506497383,0,1,,,,0.03035634011030197,0,1,,,,0.2370675802230835,1,1,,,,0.39397042989730835,1,1,,,,0.8027183413505554,1,1,,,,0.8929027318954468,1,1,,,,0.9219655990600586,1,1,,,,0.8178199529647827,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muscle contractions,compositional,farahmand,0.0,2,0.4637872390449047,0.010229609906673431,0.917344868183136,3.367784474440634,1.4581910714047867e-26,33.219280948873624,0.05401625670492649,6.1224267843960565,0.16840616753324866,4.387080535432984,0.2200777381658554,4.5557171421564275,0.4583145556971431,3.5281780263881584,0.49695988185703754,3.1129975530210583,0.4995752787217498,2.8975009251550636,0.5031267991289496,2.9250741647593377,0.4678450315259397,3.0788918626798765,1.884298989106819e-31,0,0,,,,0.1060904860496521,0,1,,,,0.3298884928226471,1,1,,,,0.43600890040397644,1,1,,,,0.9083579182624817,1,1,,,,0.9802917242050171,1,1,,,,0.9807870388031006,1,1,,,,0.9887205958366394,1,1,,,,0.9204736948013306,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muslim countries,compositional,farahmand,0.0,2,0.04900145623832941,0.004319066181778908,0.09368384629487991,5.635560371276485,1.3682000215657772e-34,33.219280948873624,0.07779344775167374,10.129392592110385,0.06331624087761156,6.925409184545574,0.03616674989461899,5.239107267477774,0.02509465254843235,5.726038257290686,0.04399928916245699,4.8953880884252365,0.04093223577365279,5.138316619452198,0.05917298444546759,5.217799663007226,0.037713180063292384,5.70874468644455,3.421970849881203e-42,0,0,,,,5.12317592438194e-06,0,0,,,,0.0005367695703171194,0,0,,,,0.01152951642870903,0,1,,,,0.008577603846788406,0,0,,,,0.015592129901051521,0,0,,,,0.011448669247329235,0,0,,,,0.006453112233430147,0,1,,,,0.005206336732953787,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nightclub goer,compositional,farahmand,0.0,2,0.14540330666932277,0.00022520817583426833,0.2905814051628113,6.949719443017568,3.6094269269381123e-22,33.219280948873624,7.293958879017737e-05,13.799308111664251,0.0002645071672304766,12.827755251391782,0.0026486286296858452,10.713646457943426,0.00467637478504912,10.826942205231632,0.015349463175880373,9.798098966910402,0.030891811567926197,9.367491106478404,0.044047170760677545,8.887862270758694,0.15675932772137458,7.052129625742649,7.218853774338485e-22,0,0,,,,9.2937501904089e-05,0,0,,,,0.0004904363886453211,0,0,,,,0.0052294484339654446,0,0,,,,0.009320233017206192,0,1,,,,0.030657771974802017,0,1,,,,0.0617465041577816,0,1,,,,0.08804372698068619,0,1,,,,0.31333744525909424,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noodle preparation,compositional,farahmand,0.0,2,0.4889516288021696,0.00011463045666459948,0.9777886271476746,6.561563719158595,3.2955104193684006e-33,33.219280948873624,0.009893468519976523,11.346504693922855,0.01986915965244407,10.021704446570897,0.013804207078692343,11.176974390953747,0.014880858346714376,10.75961813252284,0.01925416403764757,10.366440320446753,0.05997825347003527,9.433722164998095,0.37004363650157757,7.285822294715807,0.4705623127956642,6.247187261397809,6.590957886810195e-33,0,0,,,,7.4560462053341325e-06,0,0,,,,2.330118149984628e-05,0,0,,,,6.758584731869632e-06,0,0,,,,1.1183291462657508e-05,0,0,,,,1.4907146578480024e-05,0,0,,,,1.7433019820600748e-05,0,0,,,,5.549419074668549e-05,0,0,,,,0.00018418589024804533,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papal approval,compositional,farahmand,0.0,2,0.17778051560162567,0.0005957616376690567,0.3549652695655823,6.103613685161866,1.4044320742731902e-29,33.219280948873624,0.005699154865396849,11.136996199628241,0.016570264277106617,9.66521444087833,0.024213064811192453,7.369914690515527,0.04522181034553796,6.346703761050891,0.008340468601090834,8.035225258263395,0.004018383857328445,8.413675546273746,0.012871341605205089,7.902502838437258,0.15924035516218282,5.9342038605497835,2.8088641014480574e-29,0,0,,,,1.732528289721813e-05,0,0,,,,4.5835578930564225e-05,0,0,,,,0.0007668703328818083,0,0,,,,0.0017012676689773798,0,0,,,,0.0009221229120157659,0,0,,,,0.001270999782718718,0,0,,,,0.0006974186981096864,0,0,,,,0.0008420150843448937,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pashtun tribe,compositional,farahmand,0.0,3,0.07166886946652085,0.0015340856043621898,0.1878962516784668,5.6831491167945645,1.8762033741688128e-24,33.219280948873624,0.00014210223162081093,12.962899587809261,0.000511235395000161,11.610209647500419,0.0015475927114797134,9.778523510410963,0.014530502589574704,8.24634331115186,0.028412233717972413,7.220367689992581,0.0763679808199716,7.091307593449329,0.14323489633776867,5.647034164037417,0.05388908127012352,5.781135065139606,1.9403981676294466e-34,0,0,1.987463854029431e-37,0.0,0.0,0.00019645753491204232,0,0,7.83746872912161e-05,0.0,0.0,0.0009856157703325152,0,0,9.208903975377325e-06,0.0,0.0,0.00042155227856710553,0,0,3.6051897041033953e-05,0.0,0.0,0.0013614953495562077,0,0,2.9613011065521277e-05,0.0,0.0,0.023421328514814377,0,1,3.185851528542116e-05,0.0,0.0,0.20736470818519592,0,1,8.87857186171459e-06,0.0,0.0,0.38552600145339966,1,1,5.2776499614992645e-06,0.0,0.0,0.11064698547124863,0,1,7.22027471056208e-06,0.0,0.0,7.22027471056208e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
plane spotter,compositional,farahmand,0.0,2,0.10412095593892445,5.138133928994648e-05,0.20819053053855896,8.256209812011623,2.9562539464915895e-28,33.219280948873624,0.011574289687814598,10.592406694804907,0.0018704978792811744,12.063128194307962,0.004937146248266799,11.632360994505165,0.016120829692681582,11.341521972405147,0.009545066361624777,11.632178404948462,0.012340863482194209,12.67693598178544,0.04103602987436261,10.949154609035931,0.09423562721349299,8.38503143060895,1.1861415286581046e-34,0,0,,,,0.023130442947149277,0,1,,,,0.0037263405974954367,0,1,,,,0.009864233434200287,0,1,,,,0.03223705291748047,0,1,,,,0.019084932282567024,0,1,,,,0.024680782109498978,0,1,,,,0.08206894248723984,0,1,,,,0.1884237676858902,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato peeler,compositional,farahmand,0.0,2,0.45954180881381035,0.02130206674337387,0.8977815508842468,2.854213213178315,1.2019856356558385e-25,33.219280948873624,0.12553020007908344,4.409594743740934,0.12323862686753273,3.037194232572706,0.10549799352884293,3.250024480355436,0.13386445865035057,2.9455348406959967,0.11097431555390358,3.5070033478552602,0.16920551657676697,2.563689470982054,0.19430894404649734,2.42851313218887,0.4474100861698389,2.919689914050678,7.626171165401492e-37,0,0,,,,0.00915183499455452,0,1,,,,0.10458388179540634,1,1,,,,0.09646150469779968,1,1,,,,0.10116506367921829,0,1,,,,0.04331132024526596,0,1,,,,0.17382554709911346,0,1,,,,0.25132104754447937,0,1,,,,0.8748567700386047,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
punctuated rhythm,compositional,farahmand,0.0,2,0.036325338296592236,0.008936172351241112,0.06371450424194336,5.38918081603603,1.3417454420047376e-34,33.219280948873624,0.13813334079895867,7.282798220408041,0.1340266232873546,7.768276738544545,0.11385638777574059,7.658537626278879,0.10772665418335237,6.636272490033749,0.11415926500922069,5.609195852725573,0.15969874616712332,4.446456801853142,0.05931067978963256,4.954475383918329,0.04524852568283677,5.391564441023592,1.7967420883603518e-39,0,0,,,,0.0001493567688157782,0,0,,,,7.85122683737427e-05,0,0,,,,0.00010762640158645809,0,0,,,,0.00047006859676912427,0,0,,,,0.0018532153917476535,0,0,,,,0.006727917119860649,0,1,,,,0.009535419754683971,0,1,,,,0.0067784907296299934,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rebel barons,compositional,farahmand,0.0,2,0.03225910662513343,6.877628766233101e-05,0.06444943696260452,8.891708831748204,1.9630681470344985e-30,33.219280948873624,0.00422238758255844,11.137724275039346,0.00034223333113914123,13.063757818799045,0.003243165762796707,11.369669457426133,0.0011500739019538742,12.305812443922392,0.0009205282512994017,12.804284557161958,0.003930163714358059,11.593985115585323,0.005405403754593863,11.75900553344134,0.03454320391028887,8.789370549852586,2.5110616448678e-34,0,0,,,,0.00842138472944498,0,1,,,,0.0006639211205765605,0,0,,,,0.006464238278567791,0,1,,,,0.002283061621710658,0,0,,,,0.00183037796523422,0,0,,,,0.007846991531550884,0,1,,,,0.0108031015843153,0,1,,,,0.06901238858699799,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semiconductor manufacturer,compositional,farahmand,0.0,2,0.4277754243230447,0.0032813779544085264,0.8522694706916809,4.241050475030543,1.7589028246990372e-26,33.219280948873624,0.24635350285097957,4.489110129438396,0.24477709271013737,3.5636703415596216,0.19340020045638084,3.33130493316287,0.38305849581956863,2.393965381809569,0.4921000013127923,2.6969074240500635,0.49520835862495005,3.6818094763323304,0.4809671019902453,4.148892907766696,0.43271705880761147,4.2437731791228614,4.2959201563503055e-35,0,0,,,,0.004057786427438259,0,0,,,,0.015074361115694046,0,1,,,,0.02747013419866562,0,1,,,,0.05058981478214264,0,1,,,,0.02479112334549427,0,1,,,,0.006169151980429888,0,1,,,,0.003314907429739833,0,0,,,,0.003231354057788849,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snub cube,non-compositional,farahmand,1.0,2,0.03619099582672902,3.0150891916491673e-07,0.07238169014453888,12.724763689048434,9.712599856303971e-31,33.219280948873624,0.00017501724533364182,18.341720109758885,0.0009219370800149507,20.152305239611735,0.002263606182726363,15.406317928205809,0.001918849375752707,16.561561253312384,0.003098740196698424,17.175960503889456,0.0058442425462239544,17.34750415735149,0.01806953326610561,14.451192569306816,0.029227312308691467,12.871131158778528,1.4616131483421308e-35,0,0,,,,2.588841319095536e-08,0,0,,,,3.993669284163559e-10,0,0,,,,1.1712584324641284e-07,0,0,,,,2.785344044298199e-08,0,0,,,,7.359134190920713e-09,0,0,,,,3.0761229119491418e-09,0,0,,,,5.514915457638381e-08,0,0,,,,3.047826737656578e-07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
